"feature_id","gene_symbol","rank","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
"530663","Clasp2",8964,24.8755633880912,161.406988491832,11.0627433079631,0.765955455885457,13.1638516263146,1.06502822434478,18.2318016086186,1.47249236119567,14.8496712401988,1.20056844006438,0.448787890836639,0.652519959262081,0.51655799869644,10.2967878520777,12.0988234019698,16.7593092474229,13.6491028001344
"487503","Syn3",8965,13.5019320225973,26.1018455635233,4.09422702968183,0.649372708744681,5.40812909224294,0.805327480349319,17.4447831951139,2.58828033224133,10.1317755865545,1.50502682506619,0.252417882606651,1.14389430855266,0.602267554965089,3.44485432093715,4.60280161189362,14.8565028628725,8.6267487614883
"101696","Vps26c",8965,25.9320534654049,54.2350895228777,4.0326719192367,0.306165404589488,5.44343677878624,0.423290085009998,18.3049072964865,1.41522622572931,9.49843765364876,0.736030522651943,0.132786891843333,0.628754962202989,0.289157110664305,3.72650651464721,5.02014669377625,16.8896810707572,8.76240713099682
"178552","Loxl2",8966,48.1274697659849,402.050051076582,16.4010520892782,0.678682253736644,15.1032258317573,0.628859452100391,19.8407581397762,0.825733808099354,16.716388172796,0.695896524644722,0.272260850102249,0.37069802810173,0.305779386374414,15.7223698355415,14.4743663796569,19.0150243316769,16.0204916481513
"277733","Pip5k1a",8967,24.0200566553168,59.3056263647391,5.01473337159856,0.430428030622565,4.83421509524472,0.405065878155419,18.1726033165398,1.51567010467315,9.2136744214467,0.769716086025148,0.117993689020603,0.673295802279468,0.300318792955467,4.584305340976,4.4291492170893,16.6569332118667,8.44395833542155
"119894","Cyp3a9",8969,35.1350951195937,224.217556613205,13.6574169780246,0.845736554691841,15.0660648541769,0.860000598071275,18.9417279397221,1.08061551727688,16.4308178684122,0.937686627358512,0.371880730924517,0.482188190527318,0.410723745568135,12.8116804233328,14.2060642561057,17.8611124224452,15.4931312410537
"500652","Znf740",8970,14.4922944537581,39.0355863232789,5.3769526084941,0.740709152364607,5.22661109202131,0.72131904326499,17.5133130642752,2.41693763719547,10.0321619334977,1.3845060709382,0.222643219285721,1.07045251625096,0.554236733122329,4.6362434561295,4.50529204875632,15.0963754270797,8.64765586255952
"367887","LOC689277",8972,61.5742949610134,1174.49892069794,38.1202139745243,1.23725356490579,41.3847351430149,1.34422129963758,20.7712348443206,0.674672413637473,33.5701009517447,1.09039349060727,0.639629494222416,0.304855051222362,0.51271558970726,36.8829604096185,40.0405138433773,20.0965624306831,32.4797074611375
"340524","-",8973,4.41389687374184,13.2653573430348,6.11147789090845,2.96651369700109,15.1981135907117,6.93531028433612,16.8159206291591,7.66836186425485,16.056326301853,7.32417877659598,2.99012731113565,3.35665310109502,3.18456155726558,3.14496419390736,8.26280330637563,9.1475587649043,8.73214752525702
"372822","Nat8f3",8973,11.2439158529986,54.3759209109202,7.59258685790838,1.07499782269807,6.23859628851515,1.1439145184659,17.2885357973956,3.10941117520822,10.0574027259549,1.82318079675654,0.376967983746052,1.35971631211722,0.716601122891375,6.51758903521031,5.09468177004926,14.1791246221873,8.23422192919838
