"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb","cv2_nb","diff_emp","diff_nb","alpha_gene_wise"
0.13,4099,3785,4099,315,6.2,38.5,6.8,1.10726643598616,9.97609747340581,1.31169477621138,5.75047258979206,8.33781096923569,1.07060360580084
0.14,4415,4100,4415,316,2,9.5,6,2.375,10.3197734372037,3.27479401274119,2.375,2.98408756904156,2.87878554815311
0.15,4730,4416,4730,315,5,26.3,5.64864864864865,1.09375,9.18235088671883,1.6524031747929,4.232421875,6.90217619172608,1.38312333627584
0.16,5045,4731,5045,315,6.4,38.7,6.71428571428571,1.01585595270089,9.09448412596856,1.0825417191718,5.3265306122449,6.89723262537619,0.893487014354476
0.17,5361,5046,5361,316,5.4,30,5.76190476190476,0.947265625,8.22826161216597,1.17578996289428,4.53832094478948,6.04441427697819,0.973877956409419
0.18,5676,5362,5676,315,2.4,5.3,5,2.10743801652893,9.38362867749317,3.93804465227734,1.28819444444444,1.87713548336431,3.41507180150228
0.19,5991,5677,5991,315,5.2,27,6.125,1.01061557520612,8.85185216334997,1.24328696534816,4.21453287197232,6.81767984125088,1.00659284030537
0.2,6307,5992,6307,316,5,24.8,4.89366515837104,1.01594721452755,7.63660558174613,1.41303596974447,3.71922029639833,5.01153338652301,1.10322816369932
0.21,6622,6308,6622,315,5.6,28.5,5.375,0.854591836734694,7.82108173336901,0.928511640571178,4.32486463973344,5.74487022755846,0.805688070331888
0.22,6937,6623,6937,315,5.6,26.3,5.30769230769231,0.837669094693028,8.03807085850538,0.937443356555947,3.8577806122449,5.9083615159761,0.735059043903193
0.23,7253,6938,7253,316,0.8,3.2,4,5,7.79444815477042,4.83684573557799,-0.999999999999999,-0.925006686313644,3.84618890732684
0.24,7568,7254,7568,315,5.6,31.7,6.94117647058824,0.842978395061728,7.22692394755363,0.882882269779769,5.091796875,5.84410342456714,0.67691938293479
0.25,7884,7569,7884,316,6.1,28.5,6.38899253731343,0.749594066039437,7.88944637249166,0.915366383669581,4.62598372682406,6.43829959489173,0.702971865967089
0.26,8199,7885,8199,315,3.2,9.5,3.97222222222222,1.10726643598616,6.99231371352284,1.84628294143093,2.375,4.28571428571429,1.52229316868726
0.27,8514,8200,8514,315,2.4,6.3,3,1.4554826183432,6.97712629548675,2.38522096331892,1.40625,3.43950426560067,1.83780292133539
0.28,8830,8515,8830,316,6.2,34.15,6,0.746048106188778,7.58075060957543,0.901980682305404,4.63607601662204,5.83882168125425,0.706120723589698
0.29,9145,8831,9145,315,9.8,60.2,7.02678571428572,0.599440586419753,7.27764294988071,0.485238356369832,5.94582948599569,5.79789784149182,0.375040851377366
0.3,9460,9146,9460,315,0.6,1.8,3,5,6.22613323512748,4.73931505700627,-2,-1.88373335321588,3.47347193049142
0.31,9776,9461,9776,316,0.6,1.8,3,5,5.86675916175735,4.4864697757315,-2,-1.06915323370404,3.03773511977558
0.32,10091,9777,10091,315,6,24.8,5.04545454545454,0.657784955262996,6.5490004582022,0.755838615998553,3.78361249434133,5.11530909016523,0.575621957324717
0.33,10406,10092,10406,315,10.2,61.7,6.625,0.641099577085736,7.17521702454661,0.585125389990931,5.76,6.1191446782582,0.454628584228913
0.34,10722,10407,10722,316,3.8,15.55,4.05070603337612,1.09109268707483,5.68373003635175,1.55772033959462,3,3.14190944909502,1.25609676553255
0.35,11037,10723,11037,315,6.6,31.7,4.75,0.643446180555556,7.23493194620855,0.741758941323573,3.9110527303434,4.84689919406306,0.568787750716994
0.36,11352,11038,11352,315,6,28.3,5.54545454545454,0.71827744904668,7.47235143249467,0.849696355654234,4,5.03537812754546,0.67810008130856
0.37,11668,11353,11668,316,11,64.95,6.55642280211246,0.480580698391128,6.78765463877591,0.402228819251683,5.51255846220517,5.56443292751698,0.324270008532905
0.38,11983,11669,11983,315,11.6,65.3,6.41666666666667,0.489861279326749,7.13310707443631,0.406825996448202,5.77162629757786,5.69827645969969,0.323874523295459
0.39,12298,11984,12298,315,9.2,55.3,6,0.529719005986137,6.93680850963954,0.508213426921347,5.00080934212048,4.9804915838292,0.385868850942729
0.4,12614,12299,12614,316,13.7,86.25,7.10007788161994,0.421891647134029,6.56049724861863,0.326901347347985,6.36773605672397,5.50492491350302,0.244542189841888
0.41,12929,12615,12929,315,10.2,49.7,5.67741935483871,0.46398891966759,6.56678212778966,0.40762796261506,4.75468674891844,5.14046870596968,0.297650130205798
0.42,13244,12930,13244,315,9.4,43.2,5.03448275862069,0.493055555555556,6.76010260389401,0.546997828940618,4.16326530612245,4.28571428571429,0.450849479032161
0.43,13560,13245,13560,316,13.6,83.3,6.375,0.378027083827181,5.96130048134496,0.300316756107617,5.51074363175124,4.93390143710482,0.228002250761353
0.44,13875,13561,13875,315,11.2,59.7,6,0.419467440154802,7.02869681508345,0.435893265309185,5.21173469387755,5.41240354493756,0.336546422888689
0.45,14190,13876,14190,315,10,44.7,5.21875,0.405982905982906,5.89010805566473,0.407446167464145,4.21380739795918,4.8871177624543,0.289892584572997
0.46,14506,14191,14506,316,5.8,23.05,4.69899425287356,0.66611874752279,6.60628064373305,0.863947419648612,3.3645703125,4.65509971231812,0.63093399258242
0.47,14821,14507,14821,315,6,23,4.14516129032258,0.636094674556213,6.12064554470283,0.882694026906743,3.22314049586777,4.02811501444073,0.658242696923219
0.48,15136,14822,15136,315,8.8,38.5,4.33333333333333,0.434443288241415,5.75203322983715,0.470640374001008,3.51562261850328,4.01762877865672,0.347265086080886
0.49,15452,15137,15452,316,10.5,42.4,5.72275641025641,0.399351851851852,6.37727251649928,0.359519640903962,4.14052868105265,4.84468660826947,0.305450979370871
0.5,15767,15453,15767,315,11.4,56.8,5.09278350515464,0.369565217391304,5.99926867367983,0.299644899504644,4.41709217952163,5.09504705168025,0.236075499486331
0.51,16082,15768,16082,315,8.6,33.3,5.51811594202899,0.421006944444444,5.90936004588795,0.455641141918731,3.55208333333333,4.28571428571429,0.36717777154361
0.52,16398,16083,16398,316,5.5,23,4,0.663911845730027,6.01738604275162,0.927832825026646,3.30728125499917,3.9826181784096,0.711468020726667
0.53,16713,16399,16713,315,3.4,10.2,3,0.918367346938776,6.31176647593569,1.71481573588657,2,2.55371380563662,1.38209763750052
0.54,17028,16714,17028,315,7.4,28.5,5.20833333333333,0.43328135442192,6.37303361048812,0.47888213564953,3.36873709889285,4.10494535821191,0.337499343206693
0.55,17344,17029,17344,316,14.6,69.85,6,0.315374933375196,5.86699991414005,0.2361908690443,4.71272461980465,4.63959505684857,0.178628162951251
0.56,17659,17345,17659,315,13,49.3,5.21875,0.336607981395626,5.34000756334744,0.323588222451871,4.57683063611601,4.19396954267632,0.232644490930666
0.57,17974,17660,17974,315,9.6,37.3,4.69718309859155,0.38158400615148,5.97488572368322,0.371493908019368,3.71875,4.53553161630738,0.290023646281174
0.58,18290,17975,18290,316,6.7,20.4,4.75,0.523301803868299,6.19370297267548,0.69074734696366,2.46211262282691,3.46314393897147,0.560002917113115
0.59,18605,18291,18605,315,9.2,32.7,3.97222222222222,0.344387755102041,5.342384635322,0.336677240443685,3.05414066453027,3.77128931233143,0.238420446849994
0.6,18920,18606,18920,315,10.6,33.5,4.03828828828829,0.357638888888889,6.2882913611588,0.416487893644329,3.33333333333333,4.65437300972586,0.306814291119338
0.61,19236,18921,19236,316,4.5,12.2,3.18438914027149,0.516222913452389,5.35086536358836,0.901662281213497,2.28099173553719,3.26147977909751,0.686774529648194
0.62,19551,19237,19551,315,7.4,22.3,4,0.46156274177548,6.12190591763295,0.606420192701316,2.73220229289941,3.18607353692358,0.477373037033427
0.63,19866,19552,19866,315,16.8,60.3,5.26587301587302,0.227797001153403,4.97335615916543,0.230456725453863,4.16638483446066,4.33168713376264,0.157833299147439
0.64,20182,19867,20182,316,17,67.75,4.6421568627451,0.240796154385849,5.61021501860928,0.240813810962883,4.08207472841509,4.54775724300053,0.174734304960801
0.65,20497,20183,20497,315,12.2,39.7,4.02325581395349,0.290798611111111,5.24901549839392,0.313355794680819,3.11357490535425,4.09871104566449,0.219682730483976
0.66,20812,20498,20812,315,12.2,38.3,3.6875,0.312992367214033,4.9577441148375,0.293189779713377,3.2265625,3.58957042646474,0.214351237970015
0.67,21128,20813,21128,316,0.6,1.8,3,5,6.28740550503174,5.73284163957502,-2,-1.86059463925375,4.26436479635514
0.68,21443,21129,21443,315,15,56.7,3.92857142857143,0.236355924215289,4.75982986267728,0.237697920909428,3.36148053196603,3.94896203260636,0.176141168762093
0.69,21758,21444,21758,315,18.2,63.5,4.10135135135135,0.227250001729428,5.19669900442624,0.237519649159935,3.72530864197531,4.26072783902884,0.179380114276215
0.7,22074,21759,22074,316,18.8,73.8,4.94368421052632,0.200248392624577,5.07212635599492,0.213178768692813,4.00301895775623,4.36521468624908,0.162567041982419
0.71,22389,22075,22389,315,21.4,93.7,5.075,0.18125,5.36980885869059,0.197002746082779,4.73099030569933,4.89309338199309,0.13731957403772
