"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_ctrl","iod_nb_trt","cv2_nb_ctrl","cv2_nb_trt","diff_emp_ctrl","diff_emp_trt","diff_nb_ctrl","diff_nb_trt","gene_symbol"
"538895",0.00745878132431688,0.00839621156997913,5872,4410,4410,1.6,1.2,5.3,7.2,8.68187767644538,3.3125,6,2.0703125,5,14.8910042823126,11.4182532117345,9.30687767644538,9.51521100977871,1.2421875,1,5.58412660586723,1.90304220195574,"Fam117b"
"441844",0.00837482564539456,0.000454908484278181,4411,28495,4411,1.2,0.6,7.2,1.8,10,6,3,5,5,13,7,10.8333333333333,11.6666666666667,1,-2,2.16666666666667,-4.66666666666667,"Mycn"
"545747",0.00496356319711272,0.00839621156997913,11449,4411,4411,5,1.2,8,7.2,1.88106893080466,1.6,6,0.32,5,10.4053446540233,3.25728271696559,2.08106893080466,2.71440226413799,1.28,1,8.32427572321865,0.542880452827599,"Rrp36"
"457305",0.00837482564539456,0.00552667332713402,4412,10649,4412,1.2,1.2,7.2,2.7,7.35213264624507,6,2.25,5,1.875,9.82255917549408,9.82255917549408,8.1854659795784,8.1854659795784,1,0.375,1.63709319591568,1.63709319591568,"Hdac9"
"475307",0.00837482564539456,0.00694440142989261,4413,7116,4413,1.2,0.8,7.2,3.2,10,6,4,5,5,13,9,10.8333333333333,11.25,1,-0.999999999999999,2.16666666666667,-2.25,"Usp15"
"559134",0.00771139055960755,0.00839621156997913,5474,4413,4413,1,1.2,5,7.2,10,5,6,5,5,11,13,11,10.8333333333333,0,1,0,2.16666666666667,"Gemin8"
"572064",0.00692671339952,0.00839621156997913,7046,4414,4414,0.8,1.2,3.2,7.2,10,4,6,5,5,9,13,11.25,10.8333333333333,-0.999999999999999,1,-2.25,2.16666666666667,"-"
"483665",0.00837482564539456,0.00694440142989261,4415,7120,4415,1.2,0.8,7.2,3.2,10,6,4,5,5,13,9,10.8333333333333,11.25,1,-0.999999999999999,2.16666666666667,-2.25,"Gxylt1"
"576163",0.00210019785775683,0.00839621156997913,23384,4415,4415,2.2,1.2,4.7,7.2,4.3595094668239,2.13636363636364,6,0.971074380165289,5,10.5909208270126,6.23141136018868,4.81405492136935,5.19284280015723,1.16528925619835,1,5.77686590564323,1.03856856003145,"-"
"484290",0.00837482564539456,0.00363470371365177,4416,15915,4416,1.2,3,7.2,9,4.35228068507993,6,3,5,1,6.22273682209591,14.0568420552398,5.18561401841326,4.68561401841326,1,2,1.03712280368265,9.37122803682652,"Endou"
