"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.28,8794,1,24497,0.325326375421068,0.391882217832775,0.851275315956296,-0.320801228113608,1,24497,1,24497,12249,12249,0.452070396219237,0.568542553434099,24497,0.873306595615705,0.366376979032809,0,1
0.285,8951,1,24654,0.322664366033933,0.409163982400534,0.850147920387819,-0.330382315431227,1,24654,1,24654,12327.5,12327.5,0.452433664502892,0.56849591139322,24654,0.861347551151039,0.407890943879836,0,1
0.29,9108,1,24811,0.322229150343414,0.42638030705621,0.848237740197659,-0.34025996003928,1,24811,1,24811,12406,12406,0.452268244246922,0.568463484994848,24811,0.859392350008699,0.449247710068175,0,1
0.295,9265,1,24968,0.320773339814193,0.433005764323534,0.846725397228332,-0.346141798518455,1,24968,1,24968,12484.5,12484.5,0.452276160797204,0.568981500093832,24968,0.852852139093132,0.465163272336873,0,1
0.3,9422,1,25125,0.338144056422216,0.403906629276325,0.837566791931483,-0.337327261602954,1,25125,1,25125,12563,12563,0.452424698476794,0.571354259191011,25125,0.930889870027694,0.395261818426177,0,1
0.305,9579,1,25282,0.336079119786047,0.390983056600204,0.83598102185472,-0.334580686676616,1,25282,1,25282,12641.5,12641.5,0.452267109424769,0.574385237807171,25282,0.921613167560746,0.364217029008352,0,1
0.31,9736,1,25439,0.327374140435727,0.372891362279295,0.83728750206366,-0.318261408090273,1,25439,4037,25439,12720,14738,0.452693981224167,0.578927056352269,25439,0.882506154783998,0.320757464499381,2018,0.000495294700346706
0.315,9893,1,25596,0.32501923170597,0.390587927255041,0.836168484331239,-0.337006160842869,1,25596,1,25596,12798.5,12798.5,0.452798294421006,0.57878355398261,25596,0.871926756249381,0.363267855925894,0,1
0.32,10050,1,25753,0.321976170310568,0.409013618874444,0.835445657340243,-0.346204312358446,1,25753,1,25753,12877,12877,0.453243443768795,0.579575753274997,25753,0.858255840319401,0.407529743140645,0,1
0.325,10207,1,25910,0.320068524893969,0.429446260243486,0.83436351026192,-0.356621440238963,1,25910,1,25910,12955.5,12955.5,0.45329353911721,0.579462977697538,25910,0.849685766723801,0.456612691366246,0,1
0.33,10364,1,26067,0.322945707816997,0.433214772660904,0.831398082410178,-0.360516258472196,1,26067,1,26067,13034,13034,0.453132999639301,0.580757926414092,26067,0.862611475654719,0.465665348657629,0,1
0.335,10521,1,26224,0.321341859077043,0.452569829121371,0.830222314206422,-0.370834916972598,1,26224,1,26224,13112.5,13112.5,0.453404591453939,0.58072907219655,26224,0.855406204896315,0.512159740498324,0,1
0.34,10678,1,26381,0.313775824620729,0.400262302474096,0.83155098246777,-0.348408994146433,1,26381,3876,26381,13191,15128.5,0.453066818873335,0.588331429014698,26381,0.821415888062137,0.386507477735697,1937.5,0.000515862780500387
0.345,10835,1,26538,0.309489486160327,0.394783807742485,0.831789480660341,-0.340046942364633,1,26538,3857,26538,13269.5,15197.5,0.45300950771334,0.591661729557975,26538,0.802159565193289,0.373347129623617,1928,0.000518403317781234
0.35,10992,1,26695,0.308317427896139,0.412531483594584,0.830860730415995,-0.359453321246562,1,26695,1,26695,13348,13348,0.453084936682181,0.591830387541437,26695,0.796894107842031,0.415980298739635,0,1
0.355,11149,1,26852,0.306045175328615,0.406310739429908,0.83043761790847,-0.354385435372708,1,26852,3720,26852,13426.5,15286,0.453165451874649,0.594944661771886,26852,0.786686041100681,0.401036931494805,1859.5,0.000537489922063961
0.36,11306,1,27009,0.306184093096151,0.429312135789698,0.829075802106318,-0.369108141716909,1,27009,1,27009,13505,13505,0.453065212118428,0.594966898231648,27009,0.787310127464508,0.45629049985404,0,1
0.365,11463,1,27166,0.303585090471998,0.447050951174645,0.828917153549568,-0.378107795656461,1,27166,1,27166,13583.5,13583.5,0.453264181156654,0.594768781340922,27166,0.775634140108397,0.498902384504548,0,1
0.37,11620,1,27323,0.301096117121984,0.433445534183953,0.828793925242891,-0.374443936445403,1,27323,1,27323,13662,13662,0.452877730827101,0.5978272650832,27323,0.76445245791447,0.466219680115989,0,1
