"feature_id","gene_symbol","rank","abs_loading","mu","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"415882","Wdtc1",21189,0.00238948962715135,163.2,0.0132885969043086,2.16869901478316,0.774127455402989,5.09497644253001,-4.32084898712702
"405764","Nol6",21190,0.00238911446192259,13.4,0.0287157248685767,0.384790713238928,-0.955055694476285,2.59525470695687,-3.55031040143315
"66285","-",21191,0.00238847271233544,26.4,0.0621890468024641,1.64179083558505,0.495787618985065,3.27336401015227,-2.77757639116721
"258810","Nutf2",21192,0.0023883976938712,61,0.0324064126655961,1.97679117260136,0.681474910183184,4.11087386417331,-3.42939895399013
"575782","LOC120099378",21193,0.00238789729306064,232.4,0.324601057474591,75.4372857570949,4.32330165884835,5.44846002497776,-1.12515836612941
"353129","Atrn",21194,0.00238751706142813,15.4,0.131051579704796,2.01819432745386,0.702203214348604,2.73436750941958,-2.03216429507098
"346120","-",21195,0.00238679602112185,6.8,0.756651704433505,5.14523159014783,1.63807038093533,1.91692261218206,-0.278852231246729
"489005","Cdk17",21196,0.00238664877162319,10.4,0.199622279726411,2.07607170915468,0.730477506689103,2.34180580614733,-1.61132829945822
"228085","Fzd8",21197,0.00238663422466673,2.6,4.76087942646909,12.3782865088196,2.51594384966584,0.955511445027436,1.5604324046384
"372804","Alms1",21198,0.00238663422466673,2.6,2.33408962474216,6.06863302432962,1.80313337778701,0.955511445027436,0.847621932759576
"425796","Slc44a1",21199,0.00238639759580383,3.4,0.756739120445684,2.57291300951533,0.945038723756181,1.22377543162212,-0.278736707865935
"424495","Ube2r2",21200,0.00238537730949212,147.8,0.0371703999990016,5.49378511985243,1.70361747512305,4.9958600085141,-3.29224253339105
"567749","Maob",21201,0.0023853172529335,28.2,0.0880544318288019,2.48313497757221,0.909521865730061,3.33932197794407,-2.42980011221401
"73437","Omg",21202,0.00238504566634528,12,1e-08,1.2e-07,-15.9357740941644,2.484906649788,-18.4206807439524
"120550","Tbl2",21203,0.0023849532589131,12,0.111873971035283,1.34248765242339,0.2945243499086,2.484906649788,-2.1903822998794
