"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.24,7357,5518,9196,0.0436000720701697,0.138738872403669,7357,7342,0.378277595154309,0.671473414314758,15,0.0625,0.246257026410358
0.25,7664,5825,9503,0.0704901625642435,0.132507947453988,7664,7535.5,0.379136838501855,0.672791632473637,128.5,0.00772200772200772,0.215581844583275
0.26,7971,6132,9810,0.0498903011421276,0.135850038706133,8429,7971,0.382303137801792,0.680310636260337,458,0.00217864923747277,0.188967870612308
0.27,8277,6438,10116,0.0428237541505581,0.1731910500157,8404.5,8277,0.385513129680717,0.686936561415503,127.5,0.00778210116731518,0.253245351202219
0.28,8584,6745,10423,0.0432737440213262,0.155992746243987,8407,8584,0.388225112942321,0.692542774873677,177,0.00561797752808989,0.220360214714971
0.29,8890,7051,10729,0.0573052785466599,0.111855250171227,8890,9057.5,0.390076787708973,0.695699590052936,167.5,0.00593471810089021,0.158809676358565
0.3,9197,7358,11036,0.0809068206400504,0.115244297039782,9197,9150.5,0.390493373984018,0.702164179415489,46.5,0.0210526315789474,0.211211053295933
0.31,9503,7664,11342,0.0330597770178767,0.177630135906738,9951.5,9503,0.390840409084413,0.705401299251723,448.5,0.00222469410456062,0.242899132103113
0.32,9810,7971,11649,0.039056520021978,0.103303870023938,10076,9810,0.392653675227287,0.706682945061285,266,0.00374531835205993,0.116993691410098
0.33,10116,8277,11955,0.0394733721235627,0.122293892720208,10121,10116,0.394324436159036,0.710883566164881,5,0.166666666666667,0.315041082669081
0.34,10423,8584,12262,0.06139763017332,0.0888866392110148,10423,10734.5,0.395844786740777,0.714554976010944,311.5,0.0032,0.119649074213288
0.35,10730,8891,12569,0.0651139293912242,0.104833858214999,10730,10770.5,0.394921635256147,0.71749506671539,40.5,0.0240963855421687,0.174480749259729
0.36,11036,9197,12875,0.0508449466388272,0.0897580512648052,11036,10775,0.39762299926066,0.721907093973583,261,0.00381679389312977,0.107941416994977
0.37,11343,9504,13182,0.0318704688327118,0.123179851039112,11411.5,11343,0.399810236677525,0.725657040072594,68.5,0.0143884892086331,0.154353492911546
0.38,11649,9810,13488,0.0336869201180318,0.0949097715296887,11480.5,11649,0.398873465066262,0.721806532027684,168.5,0.00589970501474926,0.0967858422145286
0.39,11956,10117,13795,0.0368142088394989,0.124858607460172,11452,11956,0.398756185127288,0.725922601873969,504,0.00198019801980198,0.151518931215654
0.4,12262,10423,14101,0.0565389802454311,0.0933590792290294,12262,12223.5,0.397585833611831,0.720597483314875,38.5,0.0253164556962025,0.143503905002025
0.41,12569,10730,14408,0.0459327801515422,0.0849373592798288,12569,12333,0.397515845520377,0.722338756496884,236,0.00421940928270042,0.093091172261285
0.42,12876,11037,14715,0.0187061047921263,0.144790878324462,12734.5,12876,0.399639729428133,0.731216829229701,141.5,0.00701754385964912,0.168977382010981
0.43,13182,11343,15021,0.0273391136748095,0.0811996512752251,13182,13021.5,0.399718095979457,0.728953931989657,160.5,0.00619195046439629,0.0637470585467146
0.44,13489,11650,15328,0.0552704436416787,0.0850636730311247,13489,13404.5,0.40023423024296,0.730940183718639,84.5,0.0116959064327485,0.113107050598873
