"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.24,7537,5653,9421,0.0587759488825308,0.0819444418852387,7837,7394,0.422973572220141,0.432734548348039,443,0.00225225225225225,0.265103895974364
0.25,7852,5968,9736,0.0569487352831383,0.0772727431190334,7805,7488.5,0.426940301654029,0.436100102386367,316.5,0.0031496062992126,0.250819439749796
0.26,8166,6282,10050,0.0527253132407572,0.0763714947679829,8172,7606.5,0.427246887348721,0.436460617099737,565.5,0.00176522506619594,0.238155955896072
0.27,8480,6596,10364,0.079877486546292,0.095977218161054,8480,8480,0.43274894916432,0.438161240280288,0,1,1.34213455475874
0.28,8794,6910,10678,0.0478632340501494,0.111900352463326,8691.5,8794,0.439849310269519,0.443889422682929,102.5,0.00966183574879227,0.32104716871284
0.29,9108,7224,10992,0.0649312715297397,0.145508513882178,9108,9108,0.446642818880966,0.447066540272431,0,1,1.42906593693135
0.3,9422,7538,11306,0.101010803382176,0.0854420845720986,9422,9431.5,0.451031592708702,0.452017020652754,9.5,0.0952380952380952,0.457613339892763
0.31,9736,7852,11620,0.0514281047067623,0.082008417471043,9619,9555,0.460297840311579,0.457634515015717,64,0.0153846153846154,0.262539556843997
0.32,10050,8166,11934,0.0724650766450534,0.0755911432238597,10050,9580.5,0.466202557314462,0.466071859107544,469.5,0.00212539851222104,0.279220830345322
0.33,10364,8480,12248,0.0467097781327597,0.087662155419675,10364,10968,0.46871377052123,0.471076001071507,604,0.00165289256198347,0.252232532177005
0.34,10678,8794,12562,0.0504913619982308,0.0924677458242514,10678,11131.5,0.473576044652945,0.478446272499115,453.5,0.0022002200220022,0.272499745332277
0.35,10992,9108,12876,0.0354749071351984,0.0809480969237846,11026,11004.5,0.47807649104539,0.487581335151028,21.5,0.0444444444444444,0.25463430630786
0.36,11306,9422,13190,0.0419140825397059,0.0985763817513758,11306,11306,0.48353034797712,0.495770138232641,0,1,1.26649425595583
0.37,11620,9736,13504,0.037747761090517,0.0914259219888608,11559.5,11620,0.485950110117039,0.505493678610224,60.5,0.016260162601626,0.256562792054946
0.38,11934,10050,13818,0.0399838242868452,0.105059493022911,11323,11934,0.493667805227026,0.515195160497379,611,0.00163398692810458,0.27956279370417
0.39,12248,10364,14132,0.136665885714328,0.060696408206597,12248,12248,0.494040716658935,0.524395368067633,0,1,1.37975122084282
0.4,12562,10678,14446,0.064501448330305,0.0420193408010392,12857.5,13044.5,0.490597290307028,0.533362846209355,187,0.00531914893617021,0.184461313937125
0.41,12876,10992,14760,0.0590892839737769,0.0662840123096861,12777,12876,0.488927854913932,0.542856451409566,99,0.01,0.235848326202937
0.42,13191,11307,15075,0.0760055853992003,0.0584640594149975,12726.5,13111.5,0.49053259170815,0.555397708890896,385,0.00259067357512953,0.246115592040723
0.43,13505,11621,15389,0.0459550017939567,0.0866591031433683,12953,13505,0.490535043533885,0.563218116207054,552,0.00180831826401447,0.248346409406722
0.44,13819,11935,15703,0.042400554202966,0.0463699444464675,13633,13579.5,0.493692786413856,0.57111352987984,53.5,0.018348623853211,0.160282784218841
0.45,14133,12249,16017,0.0693482653733315,0.160489134396341,14572,14133,0.491262826115873,0.579024217324928,439,0.00227272727272727,0.476910525360054
0.46,14447,12563,16331,0.0531144264278093,0.0558418372004517,14477.5,14209,0.489912015275147,0.59334725862111,268.5,0.00371057513914657,0.191546016962855
0.47,14761,12877,16645,0.0515534906589694,0.0481994911286749,14545.5,14728,0.485745554939402,0.602454377499062,182.5,0.00544959128065395,0.171530208482035
0.48,15075,13191,16959,0.0914806787623705,0.0535521015855702,15075,14830,0.483619049121012,0.612331707272691,245,0.0040650406504065,0.269154286501394
0.49,15389,13505,17273,0.0691457132977581,0.0627191327616196,15389,15389,0.485906672033635,0.619454608181513,0,1,1.23896470682423
0.5,15703,13819,17587,0.0724296097906245,0.0447264884294725,15703,15411,0.474706044032742,0.635478999191391,292,0.00341296928327645,0.20617105156426
0.51,16017,14133,17901,0.0454327469855484,0.035757092905112,16017,15966.5,0.473263773710459,0.645325701464356,50.5,0.0194174757281553,0.142357937764163
0.52,16331,14447,18215,0.0574787558753038,0.0472445087075553,16331,17855,0.476073674937653,0.654367064441501,1524,0.000655737704918033,0.177220520771975
0.53,16645,14761,18529,0.0239362836161579,0.0691360263312458,16482.5,16645,0.471613664365383,0.665394612025878,162.5,0.00611620795107034,0.162995146281442
0.54,16959,15075,18843,0.0224190271259668,0.117888442590221,17162,16959,0.468700681620369,0.667502016102654,203,0.00490196078431373,0.275806976904448
0.55,17273,15389,19157,0.0374642639440134,0.062826357455576,17273,17091.5,0.460429047014464,0.6825577070951,181.5,0.00547945205479452,0.176359528286318
0.56,17587,15703,19471,0.0292810075112687,0.0941137825717696,17795,19102.5,0.452539017420369,0.692601598545855,1307.5,0.000764233855559801,0.229269579395708
