"feature_id","rank","diff_emp","diff_nb"
"6002",14900,2.43130481641356,5.16985880686856
"500009",14902,15.0978691575233,15.4068609592035
"79008",14905,NA,NA
"310013",14906,1.86790917456797,3.21961700877548
"145088",14906,1.7706264132704,2.0575660422181
"69078",14907,141.622347798142,128.166310920858
"313888",14908,6.73855572824878,9.76551811588308
"207000",14909,4.06668542521198,4.06408662060366
"569142",14910,9.80577591080057,12.0342337363602
"514897",14911,6.3317886315849,6.61272785930705
"423294",14911,2.23723739245482,3.16396913737972
"442494",14912,-1.99763820107315,-0.173534947765595
"496075",14913,4.45698643885078,5.37108221491659
"53912",14914,2.81454491808065,5.97801725607394
"152919",14914,3.36987121931578,2.88103712026204
"55645",14916,4.62292010355285,3.64424246090585
"384109",14917,67.7304709847307,66.2477221968498
"421074",14918,NA,NA
"432220",14919,2.06211601129687,4.35090434170746
"458693",14920,1.79360112686951,5.10676309854578
"43622",14920,3.54481344547229,3.48053240701014
"351651",14921,8.13047815799795,9.00403907548839
"524294",14922,10.5176823253647,10.9456269276309
"369581",14923,42.5563164883769,51.3135480865553
"358532",14924,10.8595189008668,12.029855149477
"242624",14924,5.04485903215991,6.15554934770608
"320017",14925,12.335675050018,9.99198244114127
"16972",14926,12.686934377229,14.2447587845465
"497930",14929,12.1876335298443,12.5344819944355
"83790",14930,-0.419954363839588,4.84308638034159
"309744",14931,5.67320509083222,6.60816295147764
"21931",14932,6.28210747600475,7.38795836017026
"135149",14932,31.9445265216094,23.3725808710636
"112598",14933,2.09219949999918,1.69841009994501
"381504",14934,1.50336638289631,1.78643671330566
"155643",14937,3.84880756068079,3.90890542624994
"579569",14938,17.1685437436267,42.0805194629877
"17856",14939,3.49138701707487,5.41930173810901
"251988",14941,1.0907616490695,1.74256773808938
"412167",14942,9.87188031494775,8.93440752309351
"521912",14943,27.3125423305896,21.6703599011324
"44835",14944,130.823152141076,149.249926538877
"226793",14944,262.065775023734,318.429029838485
"38096",14945,12.7364195891897,13.1839625383736
"124000",14946,47.6190677392513,48.9874103219947
"229512",14946,2.92362095053236,3.21704106255199
"44162",14947,16.83172498121,13.8197119915917
"245436",14947,7.10460240471176,6.72596377192184
"469110",14948,4.80764441298863,7.71488415231611
"427704",14948,3.40692416664027,3.2999945585477
"267824",14949,190.124395132109,206.350208559804
"572953",14950,3.39866545375831,4.31964063104141
"115280",14951,4.33149976788314,4.95648038016679
"29964",14952,20.1944153978432,17.1984979797883
"300605",14953,18.8995312514151,16.3412123069912
"336829",14954,24.4674460569928,22.5420103015872
"163671",14955,13.7011517859995,16.3019630712116
"270430",14955,2.56077484488486,2.91655212474663
"347497",14956,17.9806191738872,19.9703933649876
"6892",14957,-5.14358729382618,-12.5972363486035
"407017",14957,3.41795767756519,3.43529956566619
"85222",14959,6.37763713850261,5.82265747100095
"39984",14960,NA,NA
"504951",14960,1.82967557562441,1.68180705752857
"41750",14961,-5.14358729382618,-12.5972363486035
"42137",14962,NA,NA
"430944",14964,3.02679123501989,2.28461732301598
"57601",14965,-0.724172803763618,2.0701028886765
"259622",14965,4.39231964851212,14.811651705645
"351081",14966,3.06609656566782,7.13226807338718
"62250",14967,NA,NA
"64861",14968,NA,NA
"510665",14968,2.70290070000224,5.35589768349687
"71654",14969,NA,NA
"18388",14969,21.4326493049914,23.292946754527
"74353",14970,-1.09433327846149,2.54234454271574
"77604",14972,NA,NA
"238790",14972,6.24687384380478,5.90870648109932
"85267",14974,-0.509453203931419,3.02420371648349
"49906",14974,2.6149836336364,1.91568568672261
"88795",14975,-5.14358729382618,-12.5972363486035
"91651",14976,-3.15445635236787,-7.28971568922616
"98842",14977,-5.01585204374976,-12.1786597990737
"331270",14977,24.7996733369561,26.9923541841276
"108508",14979,NA,NA
"291381",14979,5.79414140037258,5.7909320101053
"117295",14980,-3.65337621042518,-8.47509750262731
"521921",14980,58.6627854300342,48.2697924792449
"126861",14981,1.1671831147631,2.02616358973936
"80746",14982,-0.147578759092999,3.89047304478461
"146908",14983,-5.14358729382618,-12.5972363486035
"95929",14983,4.57400742382109,4.93074952855388
"147207",14984,NA,NA
"299444",14984,7.31681212251045,16.7681478630542
"152007",14985,1.71125538430496,13.1819042614019
"73338",14985,8.66936143670464,9.24271849508778
"422200",14986,5.37340227047504,9.4003266699867
"280992",14987,NA,NA
"172231",14988,0.141437048518707,4.90387619135476
"314887",14988,76.1551806510027,115.722465573615
"250376",14989,5.15267161152213,8.15991791762561
"179654",14990,0.360747937801465,8.88712086974605
"180256",14991,0.591829036521684,6.10924239307691
"515699",14991,NA,NA
"186866",14992,-0.417281766126678,4.7047039356094
"187000",14993,-0.667596108361002,1.32069686924892
"324966",14993,9.58411330155625,7.1680357259339
"189636",14995,NA,NA
"120306",14995,14.4651199768537,14.2131462482935
"198917",14996,-1.57506652140348,-3.76222243394669
"199461",14997,-5.01585204374976,-12.1786597990737
"25068",14997,25.3450838238839,27.3604661338388
"210731",14999,-1.84032145466523,0.0405662485675871
"470635",14999,3.69177774280621,3.80428800308194
"218368",15001,-4.50492779385603,-10.6675091926957
"160779",15002,7.76119594935124,8.05308480456434
"176476",15003,6.65553518218867,10.2173363063645
"128540",15004,9.67787441102716,9.75547089937685
"358776",15005,14.1366470421674,13.9437245266282
"255516",15006,NA,NA
"556261",15006,5.64470876094881,5.68782018434339
"340608",15007,86.5616495560442,89.895360109531
"278613",15010,-0.385720882393543,2.88492107055936
"254891",15010,9.2688400540549,9.83277008913022
"278644",15011,-5.01585204374976,-12.1786597990737
"350943",15011,7.77618173967297,7.14511145790209
"280719",15012,-1.19562669105074,1.60208377958106
"249218",15014,6.79417609737373,7.49342752855981
"264079",15015,5.51636417490608,5.72269512399732
"296751",15016,1.50627506347324,5.49113765681799
"312724",15019,-1.36804830245841,0.206385506034642
"257795",15019,12.4432505001056,12.9374219782501
"315174",15020,-5.01585204374976,-12.1786597990737
"40076",15021,59.7470998409834,58.9152578909258
"326325",15022,0.853759505135718,5.26437379051974
"529609",15022,24.1345948031275,23.4862993160838
"419907",15024,8.93584298639328,9.02587170141336
"331790",15025,-5.14358729382618,-12.5972363486035
"500067",15025,8.38922873007678,7.93848723236697
"335495",15026,0.591829036521684,6.10924239307691
"346455",15028,-0.692474464308517,2.15247283762774
"6597",15028,6.68139895400727,7.20077883540243
"20318",15029,3.62383691651433,1.89000614636752
"357513",15030,NA,NA
"236033",15030,15.2398858708643,13.4220965151884
"357740",15031,-2.94619133948677,-6.80835882146617
"57295",15032,5.84662261187739,5.14091617586356
"365984",15033,-4.50492779385603,-10.6675091926957
"206326",15033,3.30848075941726,3.40807009625713
"21934",15034,3.38784716774274,3.04622258757789
"154452",15035,143.383759796004,132.817097781624
"385117",15036,0.00934580096951709,6.40348051560199
"353363",15036,138.997882577375,136.399035606532
"387400",15037,NA,NA
"474353",15037,12.5777494011592,13.3056933541237
"404651",15038,-4.33461412708747,-10.2045523221259
"407865",15039,-1.32282971085756,-0.782275431239798
"563834",15039,4.32041488626579,15.6485957593676
"417469",15040,0.387394943124283,8.08500856242987
"178927",15040,16.5255820553647,17.2556495201215
"380370",15042,27.7198178634344,19.6021304158487
"463526",15044,7.64614263549163,5.68896871114297
"427906",15045,-5.14358729382618,-12.5972363486035
"422550",15045,2.8442337970393,6.52852215092966
"481377",15046,5.67173395090202,5.44415362118212
"125229",15047,3.92618599210777,3.91595033990333
"266849",15048,33.3091608287076,33.8795252890455
"197221",15049,7.40714573662802,6.06492492023095
"445500",15050,NA,NA
"304088",15051,12.4515002397822,34.4481799937929
"299937",15052,7.34168655793187,7.31684742586931
"484866",15053,-0.629370338471551,1.64241048221457
"488878",15054,-4.50492779385603,-10.6675091926957
"323495",15054,20.2996806070537,18.3833915835228
"492963",15055,NA,NA
"388313",15055,13.805578767205,12.6287614377923
"495965",15056,-5.01585204374976,-12.1786597990737
"77327",15056,6.38648370109796,8.15093830261294
"513539",15057,-1.12017557834332,1.75725244420529
"532986",15058,NA,NA
"50635",15058,3.91843661841453,3.67130554732908
"534462",15059,-0.203941703320186,-0.837640746968372
"547748",15061,-0.743522263046497,1.71005482372499
"550181",15061,4.42855293452101,3.56697131032535
"554672",15062,-1.57506652140348,-3.76222243394669
"485318",15062,4.24091446706864,5.64405624810721
"94928",15063,12.6221745649897,11.543499834373
"561348",15067,11.7564140732266,23.1106648621673
"444336",15069,-0.711927022371208,3.32630035423152
"86945",15069,6.79382658113588,5.83005278879823
"534143",15070,13.6715230212967,13.2594759833768
"136156",15070,36.0666996893739,33.3399994985521
"439681",15071,15.9131943269371,18.1598425181904
"387876",15072,60.2454771958861,66.4439945744303
"226444",15075,6.58999555751865,9.75748141437645
"346609",15076,2.35294160137264,1.95503392399108
"317544",15076,15.5319933377508,14.7660991824013
"416766",15078,7.8242247356362,8.5745287720424
"93661",15080,5.38321911340513,4.74042820537103
"71233",15081,3.80413348882298,7.94204905417844
"514460",15083,NA,NA
"522006",15084,3.73002336824262,10.4222291774703
"340892",15084,1.37925730696405,1.99451039557534
"224675",15085,14.9989700774407,15.504055672196
"379509",15085,-0.607198825861074,2.41474392490629
"574387",15088,3.46049109597622,8.0847259015498
"149735",15091,6.59816131129772,7.19010749508316
"57957",15092,6.76560485123385,8.4483980730153
"18159",15095,6.80741558196413,14.4243523551811
"150955",15098,-1.54467967622956,2.03909361991007
"117716",15099,101.168891190915,107.581595012906
"210354",15100,5.09128224727125,10.846409359285
"491311",15102,4.99252573663877,5.36177230201998
"443310",15103,5.41375788878975,20.6738243415178
"426357",15104,14.2299121300216,13.6209563254916
"71322",15105,8.52454168419422,13.8886544377266
"450433",15105,4.23321557992481,9.02622150565616
"17950",15108,5.40996136726578,18.0689053468666
"526438",15109,3.99241990584931,7.1263243608115
"4595",15110,22.1837911105145,20.3978782032582
"332619",15110,8.67114612683902,8.3749938151231
"78422",15111,5.81160857222902,6.03764184550037
"149968",15112,3.53165164369194,2.89046267560915
"265810",15113,15.1408560472787,16.9532498761801
"553102",15114,5.33278138517259,4.96900595206271
"546046",15115,14.4516630458751,16.8742898227577
"130833",15115,83.5696162610057,85.4753026690687
"41215",15116,3.11394582153187,3.15862025374867
"289887",15116,3.67484515074864,2.96053260840477
"550479",15117,30.251571748726,29.6152166818647
"372127",15118,12.7366115728912,35.0084418186269
"108155",15118,32.5868505271764,36.0757435019373
"389619",15119,5.9677196463765,8.45103756219369
"267059",15119,4.4824909033569,6.01556029352182
"419598",15120,12.6701067313748,13.006441496617
"8650",15121,3.67164101634413,3.55979439511891
"377925",15123,8.10956934736432,9.48717816676955
"189982",15124,4.10833322544529,9.42047361849695
"121177",15124,4.11613483890457,4.82762917999966
"235072",15126,5.77062663828988,16.7849810138345
"226831",15126,25.4063818389613,22.314560722913
"326474",15128,2.66046362376019,6.88854717343697
"379280",15130,49.1257371424396,34.2430270773827
"204818",15131,48.1830389635697,70.4193772939661
