"percentile","rank_index","lo_rank","hi_rank","n_bin","diff_emp","diff_nb"
0.61,19264,18949,19264,316,6.56063009553992,8.53980160515483
0.62,19580,19265,19580,316,8.68671683435992,10.4803146132245
0.63,19895,19581,19895,315,6.94909598180567,8.66842496043242
0.64,20211,19896,20211,316,6.54459976323811,8.55079131357813
0.65,20527,20212,20527,316,7.80334131063341,9.69120663003708
0.66,20843,20528,20843,316,6.66316345887214,7.92134897232805
0.67,21159,20844,21159,316,6.99413416704584,8.4143475443186
0.68,21474,21160,21474,315,7.30690689476245,8.85302061597748
0.69,21790,21475,21790,316,7.51568684993503,8.71836854509357
0.7,22106,21791,22106,316,5.65822135592542,7.35240289301978
0.71,22422,22107,22422,316,8.32870479447692,9.67977585476507
0.72,22738,22423,22738,316,7.16225244533099,8.78762419578501
0.73,23053,22739,23053,315,4.57504503625402,5.75448183084537
0.74,23369,23054,23369,316,7.76054587399459,9.19071523567554
0.75,23685,23370,23685,316,7.41567848133125,8.49408232159366
0.76,24001,23686,24001,316,6.02747591210975,7.09193175140001
0.77,24317,24002,24317,316,6.05049916931331,7.85350528258785
0.78,24632,24318,24632,315,5.96979849102282,7.43671245250122
0.79,24948,24633,24948,316,6.77468135437102,8.25676608862684
0.8,25264,24949,25264,316,5.05835178614649,6.07061746837399
0.81,25580,25265,25580,316,7.1746619797931,8.03291507108531
0.82,25896,25581,25896,316,5.92225578810833,7.17113338587968
0.83,26211,25897,26211,315,6.37377453434146,7.22186608539602
0.84,26527,26212,26527,316,4.84656372510716,6.122742126339
0.85,26843,26528,26843,316,7.37492156892257,8.19329048815807
0.86,27159,26844,27159,316,6.31040552953615,7.45382090113315
0.87,27475,27160,27475,316,7.01826913924798,7.95682072886533
0.88,27790,27476,27790,315,5.96933420662344,6.51957856160079
0.89,28106,27791,28106,316,5.84340355171719,6.76322253333198
0.9,28422,28107,28422,316,6.51104656605927,7.14348108655368
0.91,28738,28423,28738,316,5.8512413041228,6.13727272877181
0.92,29054,28739,29054,316,5.74663862303239,6.15724651187009
0.93,29369,29055,29369,315,6.00244578074163,6.69431259496194
0.94,29685,29370,29685,316,5.51226732938624,6.05118046423611
0.95,30001,29686,30001,316,5.25981184404197,5.75473145280022
0.96,30317,30002,30317,316,5.37686285016312,5.82164915294147
0.97,30633,30318,30633,316,5.19244734941081,5.71949134306946
0.98,30948,30634,30948,315,5.28198051341969,5.82537693713245
0.99,31264,30949,31264,316,4.57608949550846,5.21574745905918
1,31580,31265,31580,316,4.56615691631865,4.97191226270728
