"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","alpha_gene_wise","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"108224",0.0121733606984768,0.00542982450860989,1316,12457,2.8,5,1.84514898882028,5.16641716869679,9.22574494410142,1.64217944416144,2.22199793941438,"LOC120095699"
"108238",0.00120451412550973,0.00480906262361373,24779,15441,5.4,16.2,0.155591370430352,0.8401934003239,2.5205802009717,-0.174123175164756,0.924489113503354,"-"
"108239",0.00346534050857516,0.001809237393737,14931,27872,31.4,51.4,0.42934732997665,13.4815061612668,22.0684527607998,2.60131883227415,3.09414911182106,"Yeats2"
"108278",0.000693854212347993,0.00261710190405396,27085,25263,71.2,125.2,0.0880297656099061,6.26771931142531,11.0213266543602,1.83541254228898,2.39983218253705,"Klhl24"
"108281",0.00618818644370934,0.0068261648305734,7624,7134,8.2,14.4,0.535703584314666,4.39276939138026,7.7141316141312,1.47995986905174,2.04305392136348,"Klhl24"
"108282",0.00951677714117245,0.00635910600236068,3287,8665,3,18.8,1.09908664797725,3.29725994393174,20.6628289819723,1.19309180354515,3.02833638471294,"Klhl24"
"108284",0.00144705327343792,0.00599471727066887,23446,10084,5.8,15.8,0.0673055942778307,0.390372446811418,1.06342838958973,-0.940654003748875,0.0614980187316723,"Klhl24"
"108286",0.00599590343780449,0,7957,31453,0.6,0,10,6,0,1.79175946922805,NA,"Klhl24"
"108287",0.00696102832323499,0.00254309699214392,6440,25488,0.8,1,10,8,10,2.07944154167984,2.30258509299405,"Klhl24"
"108289",0.00142581620723974,0.009869991027608,23554,1571,0.6,6.6,3.7882038700221,2.27292232201326,25.0021455421459,0.821066370073194,3.21896164287156,"Klhl24"
"108290",0.0043409713722032,0.00156002388828765,11931,28561,0.8,1.4,10,8,14,2.07944154167984,2.63905732961526,"Klhl24"
"108313",0.00861634967810283,0.00852540704854591,4197,3260,1.6,4.8,2.51311825358784,4.02098920574054,12.0629676172216,1.39152794344014,2.49014023210825,"Lamp3"
"108321",0.00207038355776817,0.00464137731298589,20633,16291,33,64.4,0.184286644515437,6.08145926900941,11.8680599067941,1.80524467853019,2.47385075017402,"Hira"
"108377",0.00463697059924013,0.00361271247877922,11147,21419,4.2,9.6,0.0663381871354294,0.278620385968804,0.636846596500122,-1.27790504741752,-0.451226474233049,"-"
"108381",0.00995084059180859,0.0126199568285761,2899,159,11.6,25.8,1.13049484486496,13.1137402004336,29.166766997516,2.57366055078913,3.37302994460438,"-"
"108387",0.0070896682516634,0.00960551332458935,6267,1799,7.4,17.8,1.07932718853374,7.98702119514969,19.2120239559006,2.07781787363771,2.95553633072563,"LOC498122"
"108388",0.00335262896103507,0.00604410299205728,15421,9873,87.8,127,0.0727902319498768,6.39098236519918,9.24435945763436,1.85488799134642,2.22401357716394,"LOC498122"
"108389",0.00269989659729956,0.00917638138887101,17865,2295,7.6,13.6,0.299729987211637,2.27794790280844,4.07632782607827,0.823274995056909,1.40519654050663,"LOC498122"
"108397",0.0017855591451784,0.00402762323340612,21836,19520,97.8,201,0.0378374577859243,3.70050337146339,7.60532901497078,1.30846885673817,2.02884918775648,"Ufd1"
"108399",3.7485575600674e-05,0.00599074822759314,29785,10098,15.8,24.2,0.769475040658696,12.1577056424074,18.6212959839404,2.4979631780125,2.92430587114222,"Ufd1"
"108409",0.00490719161372161,0.00371725297666792,10244,20967,16.4,42.2,0.220724574076696,3.61988301485782,9.31457702603658,1.28644170897788,2.23158059518969,"Cldn5"
"108425",0.0110719836510525,0.00631498850396446,1988,8810,4.2,17,0.757447006002952,3.1812774252124,12.8765991020502,1.15728282217145,2.55541164093834,"Gnb1l"
"108427",0.00550426188247477,0.00933608739106413,9079,2100,3,9.2,7.93757526964474,23.8127258089342,73.0256924807316,3.17022013563185,4.29081133101873,"Gnb1l"
"108438",0.0106428590758827,0.00512337323194689,2290,13876,2.2,3.8,1.22030397208311,2.68466873858283,4.6371550939158,0.987557345520043,1.53410105188811,"Gnb1l"
"108447",0.00465481431052727,0.00447971405966152,11093,17125,51.8,150,0.0133434876844189,0.691192662052897,2.00152315266283,-0.369336677791559,0.69390846703926,"Txnrd2"
"108461",0.00479781628377372,0.00344398618007128,10764,22092,43.8,56.4,0.064859661940167,2.84085319297931,3.65808493342542,1.04410442711918,1.29693976824079,"Arvcf"
"108462",0.0102953471079303,0.00557369721987045,2596,11817,9.4,22.2,0.396789443112835,3.72982076526065,8.80872563710495,1.31636018029224,2.17574277989452,"Arvcf"
"108476",0.00254804561120298,0.00303295000776756,18564,23746,133.4,110.8,0.211917447420842,28.2697874859403,23.4804531742292,3.34179365437764,3.1561682952093,"-"
"108480",0.00639262255325942,0.00570568679676213,7286,11272,28.8,98.2,0.0872637210714965,2.5131951668591,8.56929740922095,0.921554918442425,2.14818574666095,"Trmt2a"
