"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","iod_amp_scaled","cv2_amp_scaled","center_distance","center_agreement","local_fourier_score"
0.13,3927,2719,5135,0.0255868733939142,0.0784724422155409,3927,3927,0.310964941914731,0.491012959477535,0.0434976361539354,0.214205463097498,0,1,1.25770309925143
0.14,4229,3021,5437,0.023953824543939,0.0391287864619757,4082,4460.5,0.312472948381159,0.498987150208291,0.038401897945013,0.0695825719661418,378.5,0.00263504611330698,0.110619516024462
0.15,4532,3324,5740,0.0183393194124915,0.0263895951623332,4532,4502.5,0.319465750181204,0.513210678734692,0.0208824904129341,0.0227547253631279,29.5,0.0327868852459016,0.0764241010219636
0.16,4834,3626,6042,0.0426488435579621,0.0644293822992204,4865,4834,0.323930514525261,0.525570868852367,0.0967375213452169,0.162584740860849,31,0.03125,0.290572262206066
0.17,5136,3928,6344,0.019466016351489,0.0458037255445345,5136,5471,0.329805896918464,0.53308257487257,0.0243982166216223,0.0941189036759334,335,0.00297619047619048,0.121493310773746
0.18,5438,4230,6646,0.0418462514376436,0.109774126355681,5438,5423.5,0.335070426214898,0.547884370250389,0.0942331263702904,0.329266963380612,14.5,0.0645161290322581,0.48801621878316
0.19,5740,4532,6948,0.0342940051271787,0.0710892965254303,5663,5740,0.335921689625735,0.553138473776029,0.0706672238022111,0.187065842874203,77,0.0128205128205128,0.270553579496927
0.2,6042,4834,7250,0.043074010383048,0.0777080865630963,5801.5,6042,0.337455882712406,0.559215627875629,0.0980642047667134,0.211395776956446,240.5,0.0041407867494824,0.313600768472642
0.21,6344,5136,7552,0.0353327582878753,0.0370189103609762,5892.5,6330,0.339766727967111,0.562811080217572,0.0739085317218615,0.0618269027022894,437.5,0.00228050171037628,0.138015936134527
0.22,6646,5438,7854,0.046160230610235,0.0617355232609328,6646,6390.5,0.348430934351294,0.576401415990651,0.107694394539092,0.152682415442546,255.5,0.00389863547758285,0.264275445459221
0.23,6948,5740,8156,0.0323868365701285,0.0663198482599214,6915,6948,0.353828229641043,0.580602919111543,0.0647161270624143,0.169533882916547,33,0.0294117647058824,0.263661774684843
0.24,7250,6042,8458,0.0317656807287428,0.0544849917770948,7009,7515,0.359587522793936,0.591539279865276,0.0627778828055495,0.126030270252999,506,0.0019723865877712,0.19078053964632
0.25,7552,6344,8760,0.0352160311436291,0.0664913099753949,7972.5,7552,0.362587028921508,0.599762750799523,0.0735442983010653,0.170164157062026,420.5,0.00237247924080664,0.246080934603898
0.26,7855,6647,9063,0.0195372945680361,0.0475504893008687,7855,7779,0.366817709548592,0.60390755956801,0.024620631971615,0.10053981245337,76,0.012987012987013,0.138147457411998
0.27,8157,6949,9365,0.0540936206673603,0.0935092697308179,8047.5,8157,0.37096003888797,0.613391469118815,0.132449611653995,0.26947916420764,109.5,0.00904977375565611,0.410978549617292
0.28,8459,7251,9667,0.0197513581701933,0.0450762743350809,8459,8459,0.376488819369619,0.624197640736856,0.0252885924411801,0.0914448741519067,0,1,1.11673346659309
