"feature_id","gene_symbol","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5"
"164509","Bmp2k",0,5,0,3,15,5,9,0,3,5
"346581","LOC102555850",10,4,12,4,0,5,0,3,3,5
"235553","Dpysl3",5,0,10,0,0,13,4,0,6,3
"273921","Ufm1",6,5,0,16,25,16,0,0,10,33
"308957","RT1-Db2",0,6,19,0,0,8,12,3,11,0
"62683","Nanos1",9,11,30,0,5,17,18,3,29,6
"171891","-",0,11,11,0,0,3,13,0,11,0
"52325","Eef2k",0,0,0,0,10,0,0,0,0,6
"573919","-",4,0,6,5,0,11,0,0,0,18
"90010","Tsr1",20,42,29,95,55,53,0,42,23,87
"253213","Pdf",0,0,0,3,3,0,0,3,0,3
"518080","Atg4d",0,9,8,22,11,3,3,3,4,27
"24011","-",5,0,13,0,0,23,36,3,23,22
"108710","Hic2",4,3,7,44,13,24,0,15,23,22
"241315","Galnt1",0,0,0,0,5,7,0,3,0,4
"349671","Fbxo3",0,0,5,10,7,17,0,10,9,7
"256878","LOC102553117",4,0,5,9,0,4,0,3,0,13
"323201","Stom",3,5,4,4,20,20,0,6,9,23
"54909","Inpp5a",22,16,12,3,0,23,3,0,8,4
"70340","Akap10",0,3,3,7,4,6,0,0,0,15
"78980","Nol11",5,3,3,19,11,4,0,5,5,45
"543550","Mtcl1",4,10,42,14,0,35,16,0,19,21
"265318","Gtf2h2",4,6,0,23,9,6,0,8,4,7
"409053","Dmac1",15,18,0,19,17,14,0,9,3,32
"190737","-",12,9,3,4,0,6,0,0,0,7
"38352","Zfp865",0,0,0,8,3,5,0,0,0,8
"492582","Ctdsp2",0,0,0,3,3,23,0,0,0,12
"124711","Ctxn1",0,22,18,0,0,14,20,0,22,10
"246991","Chmp1b",60,22,116,33,0,157,57,44,104,30
"258834","Pskh1",0,0,0,16,5,0,0,0,0,5
"447480","Cox16",4,0,3,0,0,12,0,5,3,7
"385044","ST7",12,15,14,3,0,20,0,5,20,12
"84320","Insyn2b",9,3,3,0,0,9,0,5,8,7
"554444","Capn10",0,0,6,8,7,11,7,0,9,5
"461815","Akap5",0,13,0,11,4,5,0,0,5,22
"349151","-",15,8,9,11,0,13,10,3,11,4
"123919","Hps4",4,11,16,37,59,37,10,14,32,116
"249650","Usb1",11,0,4,7,0,15,5,0,0,0
"124510","Arhgef18",13,32,131,22,3,207,64,24,151,33
"333358","Cops2",8,0,0,0,0,0,3,0,3,0
"23980","-",5,5,5,6,0,15,12,11,6,0
"358820","Zfp335",4,12,0,10,8,10,0,4,0,11
"397782","Marchf8",27,33,30,0,10,83,38,7,88,28
"577672","Fmr1",13,0,14,0,3,20,10,0,13,7
"286858","Arsb",35,17,5,22,3,5,0,6,0,6
"439097","Six3",3,23,3,8,0,0,0,8,3,13
"223039","Ubqln1",8,3,11,3,0,16,4,0,18,7
"220268","Ucma",0,0,0,6,6,23,0,0,0,7
"100384","-",0,0,0,17,5,11,3,0,0,0
"153378","-",0,0,0,7,3,7,0,3,4,8
"471062","Rfx4",4,5,4,15,21,19,3,13,11,43
"261646","Zfpm1",4,3,0,0,0,4,3,0,6,0
"529653","Arih2",5,4,17,7,0,11,9,0,9,7
"21877","Eif3c",0,24,22,3,11,0,0,0,0,24
"328213","Zfp385b",53,10,44,6,5,89,29,14,40,13
"50705","-",13,5,34,7,0,0,12,0,4,7
"408196","Astn2",8,3,12,3,0,9,8,0,9,8
"418890","Rere",6,7,17,5,0,4,4,0,0,0
"236038","LOC102547034",0,0,0,4,3,27,0,0,3,24
"457261","Polr1f",0,9,4,11,3,6,0,0,0,25
"266406","Zswim6",16,9,12,4,0,33,0,11,7,4
"52610","Prkcb",518,341,1007,163,147,1767,887,283,1275,301
"429438","Raver2",5,0,0,15,6,25,0,5,6,29
"494292","RGD1309489",29,14,10,39,0,46,9,17,30,3
"429122","LOC100362298",29,158,46,229,207,162,50,112,75,323
"145017","Mgat5",0,0,6,5,4,11,4,0,4,0
"452527","Camkmt",20,9,0,10,0,3,0,3,0,3
"96468","Amz2",35,57,11,124,94,104,21,67,43,222
"147425","Edem3",0,3,8,50,17,17,15,8,19,6
"309884","Rsph1",18,29,12,64,73,65,6,42,30,74
"347435","-",0,0,0,7,3,0,0,0,0,7
"95296","Prp2l1",0,0,0,3,3,0,0,0,0,9
"209320","Sgcz",0,0,0,0,5,6,0,0,0,11
"332384","Ttbk2",108,43,181,36,25,332,146,47,246,57
"579115","Dkc1",0,5,42,61,9,120,33,9,57,18
"62409","Adrb1",0,7,4,0,14,0,0,3,3,8
"376132","Atg7",11,0,10,8,0,23,8,0,6,6
"579204","-",0,0,4,0,5,5,0,3,0,26
"180211","Pcdh20",10,6,3,9,0,10,4,11,0,10
"18916","Arhgef17",8,44,9,39,48,18,3,12,24,60
"246429","-",3,11,58,35,33,69,37,0,42,39
"575264","Tmem164",0,0,0,27,5,4,0,0,11,0
"482585","Ttll1",14,15,40,5,0,106,46,13,47,28
"258388","Slc10a7",0,0,0,0,3,0,0,0,0,18
"81673","Ogfod3",6,6,3,16,17,17,0,0,0,27
"148888","Vamp4",0,5,0,6,3,8,0,4,5,10
"452562","Prepl",0,14,3,9,21,20,7,6,4,35
"62479","LOC102551125",0,0,0,0,3,0,0,4,0,6
"456026","-",0,5,0,0,6,0,0,0,0,10
"348814","Lrrc4c",0,0,3,0,6,11,3,0,8,0
"205383","Homer3",0,5,0,14,9,24,5,5,0,12
"433001","-",0,10,12,0,0,3,7,0,11,0
"325772","-",0,5,3,5,3,9,7,0,6,0
"387294","Cald1",3,0,0,14,5,0,0,0,0,15
"206300","-",6,7,0,6,0,13,9,0,7,0
"179538","Dnajc15",0,0,3,9,6,3,8,0,3,3
"160302","Gas2l1",3,3,5,0,0,9,0,0,0,9
"441298","Itsn2",5,12,10,5,0,3,9,0,6,5
"75914","Nme2",0,0,0,13,11,19,0,7,10,6
"479851","Zfat",0,9,14,0,0,37,13,0,16,3
"399570","-",25,19,72,28,4,23,31,3,17,10
"241702","LOC108348758",0,7,12,0,0,4,8,0,13,0
"452336","Fbxo11",0,0,4,8,3,5,0,3,0,6
"87462","Med9",27,20,60,19,0,93,44,29,72,23
"397067","Ttll3",3,4,0,0,0,0,0,6,0,6
"372475","Dysf",22,27,68,25,0,32,52,6,21,26
"561978","LOC367856",0,23,45,22,13,71,41,20,80,14
"487951","LOC691921",0,0,0,0,6,0,0,0,0,8
"414526","-",0,0,0,3,4,0,0,0,0,7
"81685","Wdr45b",3,0,0,0,0,23,11,0,14,0
"500619","Tns2",15,32,11,29,50,18,8,11,0,62
"86724","Gria1",0,0,0,13,5,0,0,0,0,5
"546852","-",27,3,0,0,3,3,0,4,0,7
"59118","Plpp6",0,3,23,9,18,22,3,8,11,34
"90273","Pitpna",0,0,0,0,3,6,0,3,0,8
"153075","LOC679894",3,6,0,5,8,9,0,8,3,13
"543842","-",0,0,6,4,5,13,0,0,4,39
"445942","Cdkl1",4,0,0,0,0,3,3,7,0,25
"139823","Igsf8",0,16,26,0,0,24,6,0,18,4
"303991","Plppr5",10,0,7,0,0,11,0,0,0,6
"15735","Lrrc28",18,14,32,0,0,57,21,4,35,21
"250300","-",6,0,4,3,0,4,0,0,3,23
"542894","Efna5",4,3,3,0,0,3,0,0,0,8
"450806","Cdca4",3,0,28,8,0,47,24,7,29,7
"159935","LOC120096507",0,0,0,0,3,0,0,0,0,17
"409923","-",9,9,5,3,0,5,7,0,8,6
"130596","Srrm4",4,0,0,0,0,0,0,3,0,8
"395392","-",149,86,575,169,43,101,156,38,112,27
"446934","Max",10,21,0,18,12,15,0,8,0,22
"78356","Kansl1",16,0,12,0,0,0,5,0,6,4
"92693","Rnf43",5,0,5,0,0,6,0,0,16,0
"152636","Mtf2",0,0,3,0,8,10,0,4,3,10
"340518","Wdr5",31,14,17,3,3,36,15,7,17,5
"83574","Pkd1",0,0,7,9,3,15,12,0,10,3
"335264","Rrbp1",4,14,56,4,0,77,26,12,45,15
"462432","Dcaf5",0,8,5,10,3,11,17,9,18,0
"358791","Zswim3",13,5,9,0,6,29,17,0,27,6
"434466","-",11,6,25,5,3,5,8,3,8,0
"412560","Faf1",3,0,6,6,0,13,11,0,17,3
"277273","Ubap2l",0,0,0,10,4,3,4,3,4,0
"183989","Dlg5",155,391,133,645,509,491,146,251,158,1684
"78422","Cdc27",11,5,4,4,0,10,0,0,13,0
"45919","Zfp710",4,4,0,16,5,9,0,4,0,18
