"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw","baseMean_original","baseMean_leading_edge","baseMean_remainder","dispGeneEst_original","dispFit_original","dispersion_original","dispGeneEst_leading_edge","dispFit_leading_edge","dispersion_leading_edge","dispGeneEst_remainder","dispFit_remainder","dispersion_remainder"
"RT0_ZT6","224898","-",-4.69888750557276e-05,0.000119929075933103,-1.84298799129743e-05,-6.9878365759879e-05,2.22468408619512,NA,2.17069116615062,5.80686952855568,3.76146687832641,4.49330202189703,NA,NA,NA,5.71249794127402,3.31139781223718,3.87193083652003
"RT0_ZT6","224901","-",0.00132140299443329,-0.00143838420172035,0.00146188332252493,-0.000729627712527772,55.4204506578371,55.354371090972,NA,0.322170612915965,0.278176409785326,0.30541811117994,0.306756329068114,0.385096368354201,0.335035283743446,NA,NA,NA
"RT0_ZT6","224911","LOC102549787",-0.000140966625167183,0.000275729297184114,-5.52896397389228e-05,-0.00011414685317407,3.87714297443069,NA,3.77464440952967,10,2.21478313892615,5.41353075642878,NA,NA,NA,10,1.76141040659611,10
"RT0_ZT6","22495","Rgs10",0.00136103729801526,-0.00323760443223037,0.00173300411956384,-0.00212309380756195,133.6461080272,133.931161316446,NA,0.0957227267835897,0.192910805671152,0.128188405949841,0.0877505799950715,0.23165695037605,0.134830230287103,NA,NA,NA
"RT0_ZT6","224952","Dtnbp1",-0.00150347069363974,-0.00167504510864958,-0.000674040828877849,-0.0058380003674359,292.968124172786,295.132139213075,NA,0.030238666276363,0.160059689639636,0.0670563954323118,0.0345339237017118,0.172617032423971,0.0752781357134244,NA,NA,NA
"RT0_ZT6","224954","Dtnbp1",0.000187825768539623,-0.000179007839745842,0.000181485633383791,-0.000124193253073502,2.54148440235778,NA,2.5500474305311,6.53855289436391,3.30911038327617,4.44508319498143,NA,NA,NA,6.61023058661667,2.76492384870578,3.6359758493822
"RT0_ZT6","22496","Rgs10",-0.000990322244400417,-0.00027741219589285,-0.000769593539653037,-0.00062763062062384,33.1390106819097,33.6425636052188,NA,0.359359385126037,0.376121953935866,0.365913713538922,0.376906511787163,0.553880335351416,0.440980647817243,NA,NA,NA
"RT0_ZT6","224974","Jarid2",-3.02121278658143e-05,-9.70512689060281e-05,-3.05741504448748e-05,1.85232903158466e-05,1.33608771330428,NA,1.33492493246042,10,6.17499430681694,7.46100753124794,NA,NA,NA,10,5.45275875712674,6.40795988580851
"RT0_ZT6","224990","LOC103694056",0.00568893813496684,-0.006627865197773,0.00564053388397596,-0.00245491462507202,159.078354182813,158.045863082043,NA,1.40410591121658,0.183253225229589,1.40410591121658,1.37631438779226,0.215164190281603,1.37631438779226,NA,NA,NA
"RT0_ZT6","225016","-",-7.02442409021907e-05,0.000516374274868317,-1.42705098961744e-05,-0.000404851042987549,18.6332258238886,NA,18.4039941605094,0.0901889235295206,0.565777115377964,0.252950930357951,NA,NA,NA,0.0812270068374121,0.231587689059909,0.169363478954586
