"percentile","rank_index","lo_rank","hi_rank","n_bin","diff_emp","diff_nb"
0.35,11080,10765,11080,316,7.90505378371671,12.9165255473432
0.36,11397,11081,11397,317,4.66728071389903,8.99912043293022
0.37,11713,11398,11713,316,4.88622877546917,9.22383699647187
0.38,12030,11714,12030,317,7.26217866434135,12.1716588988366
0.39,12347,12031,12347,317,6.77588902088299,10.9873816185343
0.4,12663,12348,12663,316,6.41228985578044,10.24455944388
0.41,12980,12664,12980,317,6.07600885744173,10.4031110562004
0.42,13296,12981,13296,316,6.82188041509192,10.7728517041127
0.43,13613,13297,13613,317,6.88660397176669,10.6235163512268
0.44,13930,13614,13930,317,7.86667360443496,11.0133155239773
0.45,14246,13931,14246,316,6.49398370022881,9.6310940807499
0.46,14563,14247,14563,317,7.43602854154501,9.79802800763837
0.47,14879,14564,14879,316,6.33637143232975,9.09057714399712
0.48,15196,14880,15196,317,6.77933694828313,9.08217484433738
0.49,15512,15197,15512,316,6.35656235120165,9.1896640192506
0.5,15829,15513,15829,317,7.9488488967985,10.5864045107572
0.51,16146,15830,16146,317,7.46714513795289,10.0868278383014
0.52,16462,16147,16462,316,6.02153093461132,8.70720566326418
0.53,16779,16463,16779,317,7.75226431231234,10.9637957779571
0.54,17095,16780,17095,316,4.04441529889689,6.94560380104849
0.55,17412,17096,17412,317,7.75271231519261,10.4742114645219
0.56,17728,17413,17728,316,7.93789275523084,10.5974879633685
0.57,18045,17729,18045,317,6.31441632183173,9.25697388571269
0.58,18362,18046,18362,317,7.31043622592264,9.45938447350083
0.59,18678,18363,18678,316,6.39778155289651,8.32911589626724
0.6,18995,18679,18995,317,8.24269276069564,9.93888806823211
0.61,19311,18996,19311,316,9.68006804239662,11.2248420462519
0.62,19628,19312,19628,317,7.32842414682089,10.0213195472006
0.63,19945,19629,19945,317,7.18523067502123,10.196173000898
0.64,20261,19946,20261,316,3.7448403469462,6.54791347737725
0.65,20578,20262,20578,317,8.43891370055911,9.95290189002746
0.66,20894,20579,20894,316,8.00873741144907,9.63457464338485
0.67,21211,20895,21211,317,7.62799504921841,9.32549665063714
0.68,21527,21212,21527,316,8.91490011601001,10.5946143651631
0.69,21844,21528,21844,317,5.02473219396056,6.96475578577654
0.7,22161,21845,22161,317,8.60861276548125,10.1229474864543
0.71,22477,22162,22477,316,9.24416540131774,11.3086270357006
0.72,22794,22478,22794,317,7.97037504197487,9.73639564323851
0.73,23110,22795,23110,316,9.50075186643432,10.4622952979924
0.74,23427,23111,23427,317,7.7811231377109,9.26224899806708
0.75,23744,23428,23744,317,8.06784630765318,10.2571324351489
0.76,24060,23745,24060,316,7.48289431133443,8.09575867609024
0.77,24377,24061,24377,317,8.82798638059727,10.1434201101284
0.78,24693,24378,24693,316,7.98552587735508,9.74734375156691
0.79,25010,24694,25010,317,7.81290990297467,8.37336162368279
0.8,25326,25011,25326,316,6.97527545927727,8.0755069788393
0.81,25643,25327,25643,317,7.54439148479947,8.5182805645759
0.82,25960,25644,25960,317,8.29214124712798,8.68054634243033
0.83,26276,25961,26276,316,7.13461033177726,7.75706554039966
0.84,26593,26277,26593,317,7.46405664270362,7.48769325970365
0.85,26909,26594,26909,316,6.94384387401707,7.60307301495071
0.86,27226,26910,27226,317,7.26035238424503,7.87913936435622
0.87,27542,27227,27542,316,7.34603040387486,7.8966798503907
0.88,27859,27543,27859,317,7.35215143127346,7.90117504378669
0.89,28176,27860,28176,317,7.29777148402984,7.76602098128273
0.9,28492,28177,28492,316,6.7492038886516,7.41037606598341
0.91,28809,28493,28809,317,6.69243064862464,7.32115337748723
0.92,29125,28810,29125,316,6.15173902702177,6.51678592022111
0.93,29442,29126,29442,317,6.72455735430257,7.47206107840133
0.94,29759,29443,29759,317,6.5091656111765,7.39439648905666
0.95,30075,29760,30075,316,5.82097151183564,6.23986241291643
0.96,30392,30076,30392,317,6.51072162032344,7.22905678390961
0.97,30708,30393,30708,316,5.64556362417798,6.22770161907705
0.98,31025,30709,31025,317,6.28749331599879,6.34588341927367
0.99,31341,31026,31341,316,5.80959568625941,6.09829413068053
1,31658,31342,31658,317,6.32105512388586,6.33710508446583
