"rank","feature_id","mu","empirical_variance","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","combined_nb_support","abs_pc1_loading"
180,"80656",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
181,"81499",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
182,"81934",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
183,"82037",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
184,"82098",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
185,"82423",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
186,"82808",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
187,"83121",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
188,"83889",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
189,"83973",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
190,"84330",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
191,"84604",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
192,"84954",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
193,"85078",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
194,"85273",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
195,"85524",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
196,"85804",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
197,"86026",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
198,"86227",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
199,"86259",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
200,"86419",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
201,"88390",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
202,"88968",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
203,"89164",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
204,"89450",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
205,"89453",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
206,"89508",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
207,"89541",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
208,"91818",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
209,"92320",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
210,"95062",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
211,"95296",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
212,"96153",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
213,"96247",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
214,"96523",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
215,"96766",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
216,"96871",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
217,"97125",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
218,"97574",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
219,"97686",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
220,"98571",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
221,"99255",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
222,"101465",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
223,"101706",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
224,"101737",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
225,"102854",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
226,"103455",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
227,"104046",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
228,"104291",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
229,"106428",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
230,"106539",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
231,"107067",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
232,"107238",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
233,"107697",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
234,"108041",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
235,"108141",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
236,"108699",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
237,"108741",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
238,"108768",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
239,"109051",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
240,"109152",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
241,"109857",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
242,"111191",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
243,"112593",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
244,"112739",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
245,"114907",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
246,"114932",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
247,"114956",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
248,"115261",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
249,"115301",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
250,"115669",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
251,"116087",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
252,"116115",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
253,"116220",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
254,"116994",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
255,"117024",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
256,"117145",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
257,"117474",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
258,"117645",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
259,"117743",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
260,"117795",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
261,"118135",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
262,"118444",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
263,"118507",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
264,"119357",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
265,"119480",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
266,"119785",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
267,"119825",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
268,"121259",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
269,"121614",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
270,"121993",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
271,"122325",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
272,"122430",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
273,"123434",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
274,"123894",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
275,"123946",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
276,"124001",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
277,"124297",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
278,"124439",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
279,"124755",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
280,"124962",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
281,"125473",0,0,0,0,0,0,0,0,0,0,0.111051485250096,0
