"rank","feature_id","gene_symbol","region","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","nb_support","var_fit","d1","d2"
92,"44033","Gabrb3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.216340451425104,0.000228602415601682,1.3615695929621e-07
93,"44053","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.216111780584302,0.000228739612722773,1.38237282886653e-07
94,"44722","Apba2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.215882971506218,0.000228878890167455,1.40317606477097e-07
95,"45864","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.215654022110526,0.000229020247935727,1.42397930067541e-07
96,"45945","Sema4b","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.215424930316905,0.00022916368602759,1.44478253657985e-07
97,"45979","Vps33b","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.21519569404503,0.000229309204443043,1.46558577248429e-07
98,"45995","Unc45a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.214966311214578,0.000229456803182087,1.48638900838872e-07
99,"46126","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.214736779745225,0.000229606482244721,1.50719224429316e-07
100,"46486","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.214507097556647,0.000229758241630946,1.5279954801976e-07
101,"47036","Picalm","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.214277262568521,0.000229912081340761,1.54879871610204e-07
102,"47139","Sytl2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.214047272700524,0.000230068001374166,1.56960195200648e-07
103,"47161","Crebzf","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.213817125872332,0.000230226001731162,1.59040518791091e-07
104,"48544","LOC365309","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.213586820003621,0.000230386082411748,1.61120842381535e-07
105,"49195","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.213356353014067,0.000230548243415925,1.63201165971979e-07
106,"49715","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.213125722823348,0.000230712484743692,1.65281489562423e-07
