"rank","feature_id","mu","empirical_variance.x","log_nb1","log_nb2","log_alpha_mu","nb_gap","abs_pc1_loading","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1_spline","d2_spline"
26428,"100055",1.97322102056172,7.36745254648103,1.0896458838567,1.85539625985373,1.31740475133124,0.765750375997037,0.00790326976765286,7.36745254648103,2.12434948291679,3.07081360583246,-0.000183520171085145,9.59440399757474e-07
26429,"154421",1.97322102056172,7.36745254648103,1.0896458838567,1.85539625985373,1.31740475133124,0.765750375997037,0.00790326976765286,7.36745254648103,2.12434948291679,3.07063056490805,-0.000182562151255745,9.5659925904258e-07
26430,"417486",1.97322102056172,7.36745254648103,1.0896458838567,1.85539625985373,1.31740475133124,0.765750375997037,0.00790326976765286,7.36745254648103,2.12434948291679,3.0704484805829,-0.00018160697256706,9.53758118327685e-07
26431,"427846",1.97322102056172,7.36745254648103,1.0896458838567,1.85539625985373,1.31740475133124,0.765750375997037,0.00790326976765286,7.36745254648103,2.12434948291679,3.07026735001587,-0.00018065463501909,9.5091697761279e-07
26432,"473963",1.97322102056172,7.36745254648103,1.0896458838567,1.85539625985373,1.31740475133124,0.765750375997037,0.00790326976765286,7.36745254648103,2.12434948291679,3.07008717036582,-0.000179705138611835,9.48075836897896e-07
26433,"497609",1.97322102056172,7.36745254648103,1.0896458838567,1.85539625985373,1.31740475133124,0.765750375997037,0.00790326976765286,7.36745254648103,2.12434948291679,3.0699079387916,-0.000178758483345295,9.45234696183001e-07
26434,"97059",5.86178241634909,17.1562767105958,1.92596723544462,2.50915154381345,1.07391037165824,0.583184308368826,0.00790331742764445,17.1562767105958,2.89901632520268,3.06972965245208,-0.000177814669219469,9.42393555468106e-07
26435,"267739",5.83348687755451,11.1471016237476,1.92183506710983,1.84270837246702,0.647564606274871,-0.0791266946428164,0.00790359725106276,11.1471016237476,2.49709059184331,3.06955230850612,-0.000176873696234359,9.39552414753212e-07
26436,"102337",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.06937590411257,-0.000175935564389963,9.36711274038317e-07
26437,"137601",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.06920043643029,-0.000175000273686283,9.33870133323423e-07
26438,"139858",1.71621235198147,8.24448484611945,0.999238392200306,2.01866559904268,1.56942473164728,1.01942720684238,0.00790680036033228,8.24448484611945,2.22402714085489,3.06902590261815,-0.000174067824123314,9.31028992608518e-07
