"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"121044",0.00232409539263749,0.0033062068751449,19426,22652,85,114.4,443,2418.8,0.0495501730103806,0.176078292337034,4.21176470588235,20.1433566433566,1.43788172991038,3.00287453891253,"Tpst1"
"121069",0.00280153284300449,0.00312282612463675,17423,23404,72.8,159,697.2,4391,0.117814877430262,0.167398441517345,8.57692307692308,26.6163522012579,2.14907523343864,3.2815257713179,"Crcp"
"121073",0.00188572277466831,0.00706993789306964,21403,6437,23.6,67.6,29.3,3008.8,0.0102341281241023,0.643622422184097,0.241525423728814,43.508875739645,-1.42078053719106,3.77296495727315,"Crcp"
"121081",0.0186405763458037,0.00299722957150331,90,23867,19.8,13,812.7,121.5,2.02249770431589,0.642011834319527,40.0454545454545,8.34615384615385,3.69001517257786,2.12180081551898,"LOC501835"
"121086",0.000889660397420285,0.00238635857077598,26332,26073,61.8,99.2,40.7,1038.7,-0.00552465935631173,0.0954714327523413,-0.341423948220065,9.47076612903226,NA,2.24820980456269,"Vkorc1l1"
"121092",0.0091795768727386,0.00166318211260953,3602,28310,5.4,7.8,29.3,37.7,0.819615912208505,0.491452991452992,4.42592592592593,3.83333333333333,1.48747950536724,1.34373474670109,"Vkorc1l1"
"121116",0.00774959277233484,0.00506474617495415,5326,14173,1,2.2,5,9.2,4,1.44628099173554,4,3.18181818181818,1.38629436111989,1.15745278869104,"Nupr2"
"121118",0.000438591117686484,0.00386883809487281,28149,20263,13.4,34.6,31.3,505.3,0.0996881265315215,0.39318052724782,1.33582089552239,13.6040462427746,0.289546005889843,2.61036726634342,"Nupr2"
"121124",0.00231329301131148,0.00686635055064411,19482,7017,1.2,2.6,2.7,8.3,1.04166666666667,0.843195266272189,1.25,2.19230769230769,0.22314355131421,0.784954729813068,"-"
"121128",0.00225986522139545,0.00446534049070351,19759,17214,1.6,1.2,12.8,7.2,4.375,4.16666666666667,7,5,1.94591014905531,1.6094379124341,"Sumf2"
"121134",0.000397173872004034,0.00586887931981967,28382,10595,114,197.4,714.5,14232.3,0.0462065250846414,0.36017621172507,5.26754385964912,71.0987841945289,1.66156419312554,4.26407023672669,"Cct6a"
"121135",0.0138509707901855,0.00216289609755609,671,26756,9.2,14.4,56.7,60.3,0.561200378071834,0.221354166666667,5.16304347826087,3.1875,1.6415262269856,1.15923691048454,"Cct6a"
"121136",0.000605726317317493,0.00456960380069252,27462,16665,8.8,13.6,16.2,91.3,0.0955578512396694,0.420090830449827,0.840909090909091,5.71323529411765,-0.173271721274037,1.7427854646316,"Cct6a"
"121151",0.00128476742886266,0.00568853264780997,24450,11331,49,109.2,134,4463.7,0.0354019158683882,0.365168256651773,1.73469387755102,39.8763736263736,0.55083095837969,3.68578400882199,"Nipsnap2"
"121152",0.00409831687445912,0.00559332036694179,12660,11738,76.6,197.8,926.3,12909.7,0.144813176175446,0.324906121021837,11.0926892950392,64.2664307381193,2.40628626926295,4.16303742241424,"Nipsnap2"
"121175",0.000453716829928494,0.0050906399428252,28091,14045,41.6,92.6,89.3,2658.8,0.0275633321005917,0.299273682295481,1.14663461538462,27.7127429805616,0.136831230627078,3.32189234280878,"Mrps17"
"121177",0.00317530330457179,0.00633393806069399,16083,8744,13.8,52,50.2,1096.5,0.191136315900021,0.386279585798817,2.63768115942029,20.0865384615385,0.969900182479536,3.00004986241519,"Mrps17"
"121188",0.00285163241447948,0.0065785672643783,17218,7880,3,9,45,42.5,4.66666666666667,0.41358024691358,14,3.72222222222222,2.63905732961526,1.3143208614948,"-"
"121194",0.00599590343780449,0.00444761524656346,7963,17337,0.6,11.8,1.8,42.2,3.33333333333333,0.218328066647515,2,2.57627118644068,0.693147180559946,0.946343076940557,"Mmp17"
"121195",0.000137254802908561,0.00191205891518833,29399,27627,288.8,422.6,7113.7,22429.3,0.0818279958717321,0.123224180243144,23.6319252077562,52.0745385707525,3.1625985609125,3.95267612624849,"Mmp17"
"121196",0.0120660096512936,0.00344766982308651,1391,22079,2.4,10.6,11.3,27.8,1.54513888888889,0.153079387682449,3.70833333333333,1.62264150943396,1.31058253938419,0.484055382701386,"Mmp17"
"121212",0.00126657811941252,0.00291725724945601,24530,24209,43.4,133.2,198.3,2526.7,0.0822378899530676,0.134904048192337,3.56912442396313,17.9692192192192,1.27232030631646,2.88866025072628,"Sfswap"
"121259",0.00599590343780449,0.00608722543848284,7964,9705,0.6,6,1.8,26.5,3.33333333333333,0.569444444444444,2,3.41666666666667,0.693147180559946,1.22866541691631,"Sfswap"
"121263",0.00343385903922082,0.000936168971761832,15071,29781,9.4,8,18.8,37,0.106382978723404,0.453125,1,3.625,0,1.28785428830664,"Sfswap"
"121288",0.00176299187812062,0.00486237822536453,21919,15168,144,404.2,790.5,46237.7,0.031177662037037,0.280537165306097,4.48958333333333,113.393122216724,1.50175989863591,4.73086073880816,"Ran"
"121293",0.00506941191464579,0.00691273564596809,9936,6894,2.6,9,6.3,68.5,0.547337278106509,0.734567901234568,1.42307692307692,6.61111111111111,0.352821374622742,1.88875173521536,"Ran"
"121294",0.00336131473022056,0.00481024242230165,15394,15434,574,1177,29897.5,364074.5,0.0890004127766514,0.261957628837626,51.0862369337979,308.324129141886,3.93351512499872,5.73115159696703,"Ran"
"121295",0.000174452083587002,0.00954176576403806,29251,1862,2.6,14.6,2.3,134.8,-0.0443786982248521,0.563895665227998,-0.115384615384615,8.23287671232877,NA,2.10813549338682,"Ran"
"121306",0.0135693340908388,0.0027429414949713,755,24832,4.8,31.6,19.2,588.8,0.625,0.55800352507611,3,17.6329113924051,1.09861228866811,2.86976712131278,"Rimbp2"
