"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score"
0.16,4944,0.0959050341125182,0.194116250179211,4490,4944,0.532711395729119,4963,0.140555273284185,0.0833739405013041,4963,5051.5,0.30937676942999,4954,0.236460307396703,0.277490190680515,271.25,0.00367309458218549,0.424711624737956
0.17,5254,0.0854815906893026,0.137964480137347,5254,5323,0.389079928311609,5273,0.129885193416426,0.0796619722532724,5273,4988.5,0.277878560229302,5264,0.215366784105729,0.21762645239062,107.75,0.00919540229885057,0.33556577480612
0.18,5563,0.10512383767702,0.140205248581096,5563,5437.5,0.416280512753175,5583,0.0992877260158307,0.100199984973268,5583,5583,1.27762911001754,5573,0.20441156369285,0.240405233554364,62.75,0.0156862745098039,0.364161191794592
0.19,5872,0.0738766083421892,0.150341638077656,5872,5396,0.391425658319014,5893,0.0946934428371867,0.101651179006197,5893,5893,1.27436975978193,5882,0.168570051179376,0.251992817083853,238,0.00418410041841004,0.341710009594122
0.2,6181,0.0528587543580634,0.201637268872708,6088,6181,0.498748879626404,6203,0.100875515690875,0.098881760495919,6203,6203,1.27688078197937,6192,0.153734270048938,0.300519029368627,46.5,0.0210526315789474,0.411902562403991
0.21,6490,0.0564008881496691,0.143336574162178,6490,6490,1.34687852126803,6513,0.115043911476784,0.0900914920700799,6513,6612,0.287027220601185,6502,0.171444799626453,0.233428066232258,49.5,0.0198019801980198,0.334873876521684
0.22,6799,0.0612557623208946,0.151851764207602,6799,6940,0.382195555147822,6824,0.0617818486306833,0.158064757669975,6810.5,6824,0.425623368636731,6812,0.123037610951578,0.309916521877577,77.25,0.012779552715655,0.393555227446542
0.23,7108,0.0482895268112823,0.138799340377752,7108,6973,0.331301859172119,7134,0.0787320919408734,0.0951645684747779,7134,7134,1.23658223270065,7121,0.127021618752156,0.23396390885253,67.5,0.0145985401459854,0.297807299138487
0.24,7417,0.0428097379074628,0.148441229450732,7417,7417,1.34033997355864,7444,0.0628233198214707,0.110145488650648,7444,7444,1.24815019337968,7430,0.105633057728933,0.25858671810138,0,1,1.30010305994318
0.25,7726,0.0416722146456249,0.264261501847587,7716,7726,0.720218109963492,7754,0.0534844666886183,0.128517143184356,7310.5,7754,0.279176290491199,7740,0.0951566813342432,0.392778645031943,226.75,0.00439077936333699,0.474353142729024
0.26,8035,0.0400999428611358,0.143811342652264,7590,8035,0.327108757400515,8064,0.0676411740823965,0.0866340758243782,8064,8142.5,0.21366826603339,8050,0.107741116943532,0.230445418476642,261.75,0.00380589914367269,0.268222668766158
0.27,8344,0.0588281403016839,0.136304710408794,8344,8523.5,0.338231034572213,8374,0.049993307854826,0.099141449728496,8374,8374,1.20448463967863,8359,0.10882144815651,0.23544616013729,89.75,0.0110192837465565,0.282844340333639
0.28,8653,0.0255727473152704,0.147605473706079,8653,8674,0.359162166639374,8684,0.0463126764891567,0.0950253782718998,8684,8196.5,0.191803030538836,8668,0.071885423804427,0.242630851977979,233.25,0.00426894343649947,0.258517284735463
0.29,8962,0.0103496806810682,0.149569423931051,8281,8962,0.298432549165458,8995,0.0603102323120758,0.11466124634498,8995,8995,1.25491128771367,8978,0.0706599129931439,0.26423067027603,340.5,0.00292825768667643,0.284855375053874
